---,UnitCard,3028Weight,3039Weight,3050Weight
ARC-2R,"(Id=""MWUnitCardAsset:ARC-2R_UnitCard"")",1.24,1.14,0.7
ASN-21,"(Id=""MWUnitCardAsset:ASN-21_UnitCard"")",0,0,0
ASN-23,"(Id=""MWUnitCardAsset:ASN-23_UnitCard"")",0,0,0
AS7-D,"(Id=""MWUnitCardAsset:AS7-D_UnitCard"")",0.06,0.06,0.0525
AS7-D-DC,"(Id=""MWUnitCardAsset:AS7-D-DC_UnitCard"")",0.06,0.06,0.0525
AS7-K,"(Id=""MWUnitCardAsset:AS7-K_UnitCard"")",0,0,0.0525
AS7-RS,"(Id=""MWUnitCardAsset:AS7-RS_UnitCard"")",0.06,0.06,0.0525
AWS-8Q,"(Id=""MWUnitCardAsset:AWS-8Q_UnitCard"")",0.275,0.2775,0.21
AWS-8R,"(Id=""MWUnitCardAsset:AWS-8R_UnitCard"")",0.275,0.2775,0.21
AWS-8T,"(Id=""MWUnitCardAsset:AWS-8T_UnitCard"")",0.275,0.2775,0.21
AWS-8V,"(Id=""MWUnitCardAsset:AWS-8V_UnitCard"")",0.275,0.2775,0.21
AWS-9M,"(Id=""MWUnitCardAsset:AWS-9M_UnitCard"")",0,0,0.21
BNC-3E,"(Id=""MWUnitCardAsset:BNC-3E_UnitCard"")",0.95,0.96,0.375
BNC-3S,"(Id=""MWUnitCardAsset:BNC-3S_UnitCard"")",0,0,0.375
BLR-1G,"(Id=""MWUnitCardAsset:BLR-1G_UnitCard"")",0.63,0.44,0.215
BLR-3M,"(Id=""MWUnitCardAsset:BLR-3M_UnitCard"")",0,0,0.215
BJ-1,"(Id=""MWUnitCardAsset:BJ-1_UnitCard"")",2.8,2.76,1.24
CTF-1X,"(Id=""MWUnitCardAsset:CTF-1X_UnitCard"")",0.15,0.84,1.546666667
CTF-2X,"(Id=""MWUnitCardAsset:CTF-2X_UnitCard"")",0.15,0.84,1.546666667
CTF-3L,"(Id=""MWUnitCardAsset:CTF-3L_UnitCard"")",0,0,1.546666667
CPLT-A1,"(Id=""MWUnitCardAsset:CPLT-A1_UnitCard"")",0.313333333,0.293333333,0.153333333
CPLT-C1,"(Id=""MWUnitCardAsset:CPLT-C1_UnitCard"")",0.313333333,0.293333333,0.153333333
CPLT-C4,"(Id=""MWUnitCardAsset:CPLT-C4_UnitCard"")",0.313333333,0.293333333,0.153333333
CN9-A,"(Id=""MWUnitCardAsset:CN9-A_UnitCard"")",0.12,0.053333333,0
CN9-AH,"(Id=""MWUnitCardAsset:CN9-AH_UnitCard"")",0.12,0.053333333,0
CN9-AL,"(Id=""MWUnitCardAsset:CN9-AL_UnitCard"")",0.12,0.053333333,0
CDA-2A,"(Id=""MWUnitCardAsset:CDA-2A_UnitCard"")",0.333333333,0.346666667,0.08
CDA-2B,"(Id=""MWUnitCardAsset:CDA-2B_UnitCard"")",0.333333333,0.346666667,0.08
CDA-3C,"(Id=""MWUnitCardAsset:CDA-3C_UnitCard"")",0.333333333,0.346666667,0.08
CDA-3F,"(Id=""MWUnitCardAsset:CDA-3F_UnitCard"")",0,0,0.08
CDA-3M,"(Id=""MWUnitCardAsset:CDA-3M_UnitCard"")",0,0,0.08
CRB-20,"(Id=""MWUnitCardAsset:CRB-20_UnitCard"")",0.36,0.32,0
CP-10-Q,"(Id=""MWUnitCardAsset:CP-10-Q_UnitCard"")",0.305,0.203333333,0.2075
CP-10-Z,"(Id=""MWUnitCardAsset:CP-10-Z_UnitCard"")",0.305,0.203333333,0.2075
CP-11-A,"(Id=""MWUnitCardAsset:CP-11-A_UnitCard"")",0,0.203333333,0.2075
CP-11-A-DC,"(Id=""MWUnitCardAsset:CP-11-A-DC_UnitCard"")",0,0,0.2075
Demolisher,"(Id=""MWUnitCardAsset:Demolisher_UnitCard"")",0.5,0.5,0.5
FS9-H,"(Id=""MWUnitCardAsset:FS9-H_UnitCard"")",2.37,2.25,0.48
FS9-S,"(Id=""MWUnitCardAsset:FS9-S_UnitCard"")",0,0,0.48
GHR-5H,"(Id=""MWUnitCardAsset:GHR-5H_UnitCard"")",0.82,0.76,0.166666667
GHR-5J,"(Id=""MWUnitCardAsset:GHR-5J_UnitCard"")",0,0,0.166666667
GHR-5N,"(Id=""MWUnitCardAsset:GHR-5N_UnitCard"")",0,0,0.166666667
GRF-1N,"(Id=""MWUnitCardAsset:GRF-1N_UnitCard"")",2.8,2.76,0.82
GRF-3M,"(Id=""MWUnitCardAsset:GRF-3M_UnitCard"")",0,0,0.82
HGN-733,"(Id=""MWUnitCardAsset:HGN-733_UnitCard"")",0.18,0.183333333,0.606666667
HGN-733C,"(Id=""MWUnitCardAsset:HGN-733C_UnitCard"")",0.18,0.183333333,0.606666667
HGN-733P,"(Id=""MWUnitCardAsset:HGN-733P_UnitCard"")",0.18,0.183333333,0.606666667
HBK-4G,"(Id=""MWUnitCardAsset:HBK-4G_UnitCard"")",0.63,0.528,0.48
HBK-4H,"(Id=""MWUnitCardAsset:HBK-4H_UnitCard"")",0.63,0.528,0.48
HBK-4J,"(Id=""MWUnitCardAsset:HBK-4J_UnitCard"")",0.63,0.528,0.48
HBK-4P,"(Id=""MWUnitCardAsset:HBK-4P_UnitCard"")",0.63,0.528,0.48
HBK-4SP,"(Id=""MWUnitCardAsset:HBK-4SP_UnitCard"")",0,0.528,0.48
JM6-S,"(Id=""MWUnitCardAsset:JM6-S_UnitCard"")",0.82,0.76,0.4
JVN-10F,"(Id=""MWUnitCardAsset:JVN-10F_UnitCard"")",0.23,0.22,0.08
JVN-10N,"(Id=""MWUnitCardAsset:JVN-10N_UnitCard"")",0.23,0.22,0.08
JR7-D,"(Id=""MWUnitCardAsset:JR7-D_UnitCard"")",0.23,0.22,0.08
KGC-0000,"(Id=""MWUnitCardAsset:KGC-0000_UnitCard"")",0.12,0.12,0.1
LCT-1E,"(Id=""MWUnitCardAsset:LCT-1E_UnitCard"")",1.74,1.65,1.215
LCT-1V,"(Id=""MWUnitCardAsset:LCT-1V_UnitCard"")",1.74,1.65,1.215
LCT-3M,"(Id=""MWUnitCardAsset:LCT-3M_UnitCard"")",0,0,1.215
LCT-3V,"(Id=""MWUnitCardAsset:LCT-3V_UnitCard"")",1.74,1.65,1.215
MAD-3R,"(Id=""MWUnitCardAsset:MAD-3R_UnitCard"")",0.56,0.52,0.18
MAD-5M,"(Id=""MWUnitCardAsset:MAD-5M_UnitCard"")",0,0,0.18
MissileCarrier_LRM60,"(Id=""MWUnitCardAsset:MissileCarrier_LRM60_UnitCard"")",1,1,1
MissileCarrier_SRM60,"(Id=""MWUnitCardAsset:MissileCarrier_SRM60_UnitCard"")",1,1,1
Manticore,"(Id=""MWUnitCardAsset:Manticore_UnitCard"")",1,1,1
ON1-K,"(Id=""MWUnitCardAsset:ON1-K_UnitCard"")",0.233333333,0.213333333,0.14
ON1-M,"(Id=""MWUnitCardAsset:ON1-M_UnitCard"")",0,0,0.14
ON1-V,"(Id=""MWUnitCardAsset:ON1-V_UnitCard"")",0.233333333,0.213333333,0.14
ON1-VA,"(Id=""MWUnitCardAsset:ON1-VA_UnitCard"")",0.233333333,0.213333333,0.14
PNT-9R,"(Id=""MWUnitCardAsset:PNT-9R_UnitCard"")",0,0,0
PXH-1,"(Id=""MWUnitCardAsset:PXH-1_UnitCard"")",5.68,5.56,2.92
Partisan,"(Id=""MWUnitCardAsset:Partisan_UnitCard"")",1,1,1
QKD-4G,"(Id=""MWUnitCardAsset:QKD-4G_UnitCard"")",0.18,0.17,0.12
QKD-4H,"(Id=""MWUnitCardAsset:QKD-4H_UnitCard"")",0.18,0.17,0.12
RVN-3L,"(Id=""MWUnitCardAsset:RVN-3L_UnitCard"")",0,0.705,2.34
RVN-4X,"(Id=""MWUnitCardAsset:RVN-4X_UnitCard"")",0,0.705,2.34
RFL-3N,"(Id=""MWUnitCardAsset:RFL-3N_UnitCard"")",2.5,2.32,1.02
SHD-2H,"(Id=""MWUnitCardAsset:SHD-2H_UnitCard"")",2.8,2.76,0.82
SHD-5M,"(Id=""MWUnitCardAsset:SHD-5M_UnitCard"")",0,0,0.82
SDR-5V,"(Id=""MWUnitCardAsset:SDR-5V_UnitCard"")",1.02,0.99,0.39
STK-3F,"(Id=""MWUnitCardAsset:STK-3F_UnitCard"")",0.396666667,0.4,0.2825
STK-3H,"(Id=""MWUnitCardAsset:STK-3H_UnitCard"")",0.396666667,0.4,0.2825
STK-4N,"(Id=""MWUnitCardAsset:STK-4N_UnitCard"")",0.396666667,0.4,0.2825
STK-5M,"(Id=""MWUnitCardAsset:STK-5M_UnitCard"")",0,0,0.2825
Scorpion,"(Id=""MWUnitCardAsset:Scorpion_UnitCard"")",1,1,1
TDR-5S,"(Id=""MWUnitCardAsset:TDR-5S_UnitCard"")",2.5,1.16,1.02
TBT-5N,"(Id=""MWUnitCardAsset:TBT-5N_UnitCard"")",1.44,1.44,0.6
TBT-7M,"(Id=""MWUnitCardAsset:TBT-7M_UnitCard"")",0,0,0.6
Tank_Jedgar,"(Id=""MWUnitCardAsset:Tank_Jedgar_UnitCard"")",1,1,1
Tank_Jedgar_Flamer,"(Id=""MWUnitCardAsset:Tank_Jedgar_Flamer_UnitCard"")",1,1,1
Tank_Jedgar_MachineGun,"(Id=""MWUnitCardAsset:Tank_Jedgar_MachineGun_UnitCard"")",1,1,1
Turret_AC2_1x0,"(Id=""MWUnitCardAsset:Turret_AC2_1x0_UnitCard"")",1,1,1
Turret_AC2_1x1,"(Id=""MWUnitCardAsset:Turret_AC2_1x1_UnitCard"")",1,1,1
Turret_AC2_2x2,"(Id=""MWUnitCardAsset:Turret_AC2_2x2_UnitCard"")",1,1,1
Turret_LargeLaser_1x1,"(Id=""MWUnitCardAsset:Turret_LargeLaser_1x1_UnitCard"")",1,1,1
Turret_MediumLaser_1x0,"(Id=""MWUnitCardAsset:Turret_MediumLaser_1x0_UnitCard"")",1,1,1
Turret_MediumLaser_1x1,"(Id=""MWUnitCardAsset:Turret_MediumLaser_1x1_UnitCard"")",1,1,1
Turret_MediumLaser_2x2,"(Id=""MWUnitCardAsset:Turret_MediumLaser_2x2_UnitCard"")",1,1,1
Turret_SRM2_1x0,"(Id=""MWUnitCardAsset:Turret_SRM2_1x0_UnitCard"")",1,1,1
Turret_SRM2_1x1,"(Id=""MWUnitCardAsset:Turret_SRM2_1x1_UnitCard"")",1,1,1
Turret_SRM6_1x1,"(Id=""MWUnitCardAsset:Turret_SRM6_1x1_UnitCard"")",1,1,1
Turret_SmallLaser_1x0,"(Id=""MWUnitCardAsset:Turret_SmallLaser_1x0_UnitCard"")",1,1,1
Turret_SmallLaser_1x1,"(Id=""MWUnitCardAsset:Turret_SmallLaser_1x1_UnitCard"")",1,1,1
Turret_SmallLaser_2x2,"(Id=""MWUnitCardAsset:Turret_SmallLaser_2x2_UnitCard"")",1,1,1
UM-R60,"(Id=""MWUnitCardAsset:UM-R60_UnitCard"")",1.635,1.56,0.37
UM-R60L,"(Id=""MWUnitCardAsset:UM-R60L_UnitCard"")",1.635,1.56,0.37
UM-R63,"(Id=""MWUnitCardAsset:UM-R63_UnitCard"")",0,0,0.37
VTR-9A1,"(Id=""MWUnitCardAsset:VTR-9A1_UnitCard"")",1.07,1.085,0.75
VTR-9B,"(Id=""MWUnitCardAsset:VTR-9B_UnitCard"")",1.07,1.085,0.75
VND-1AA,"(Id=""MWUnitCardAsset:VND-1AA_UnitCard"")",3.333333333,0,0
VND-1R,"(Id=""MWUnitCardAsset:VND-1R_UnitCard"")",3.333333333,4.9,10.88
VND-1X,"(Id=""MWUnitCardAsset:VND-1X_UnitCard"")",3.333333333,4.9,10.88
VTOL_Igor_1x1_AC10,"(Id=""MWUnitCardAsset:VTOL_Igor_1x1_AC10_UnitCard"")",1,1,1
VTOL_Igor_2x2AC2,"(Id=""MWUnitCardAsset:VTOL_Igor_2x2AC2_UnitCard"")",1,1,1
VTOL_Warrior,"(Id=""MWUnitCardAsset:VTOL_Warrior_UnitCard"")",1,1,1
WHM-6R,"(Id=""MWUnitCardAsset:WHM-6R_UnitCard"")",1.56,1.45,1
WVR-6R,"(Id=""MWUnitCardAsset:WVR-6R_UnitCard"")",2.8,2.76,1.64
ZEU-6S,"(Id=""MWUnitCardAsset:ZEU-6S_UnitCard"")",0.4,0.4,0.2
ZEU-9S,"(Id=""MWUnitCardAsset:ZEU-9S_UnitCard"")",0,0,0.4
ZEU-9S2,"(Id=""MWUnitCardAsset:ZEU-9S2_UnitCard"")",0,0,0.4
FLE-15,"(Id=""MWUnitCardAsset:FLE-15_UnitCard"")",0.2,0.2,0.2
FLE-17,"(Id=""MWUnitCardAsset:FLE-17_UnitCard"")",0,0.2,0.96
FLE-19,"(Id=""MWUnitCardAsset:FLE-19_UnitCard"")",0,0.2,0.5
ARC-5S,"(Id=""MWUnitCardAsset:ARC-5S_UnitCard"")",0,0,0.5
ARC-5W,"(Id=""MWUnitCardAsset:ARC-5S_UnitCard"")",0,0,0.5
MAD-5D,"(Id=""MWUnitCardAsset:MAD-5D_UnitCard"")",0,0,0.18
ASN-23,"(Id=""MWUnitCardAsset:ASN-23_UnitCard"")",0,0,0
ASN-26,"(Id=""MWUnitCardAsset:ASN-26_UnitCard"")",0,0,0
ASN-27,"(Id=""MWUnitCardAsset:ASN-27_UnitCard"")",0,0,0
CP-11-P,"(Id=""MWUnitCardAsset:CP-11-P_UnitCard"")",0,0,0.2075
,,,,
