---,UnitCard,3028Weight,3039Weight,3050Weight
ANH-2A,"(Id=""MWUnitCardAsset:ANH-2A_UnitCard"")",0,0,0
ARC-2R,"(Id=""MWUnitCardAsset:ARC-2R_UnitCard"")",1.72,1.62,0.506666667
ARC-5S,"(Id=""MWUnitCardAsset:ARC-5S_UnitCard"")",0,0,0.506666667
ARC-5W,"(Id=""MWUnitCardAsset:ARC-5W_UnitCard"")",0,0,0.506666667
ASN-101,"(Id=""MWUnitCardAsset:ASN-101_UnitCard"")",0,0.28,0.173333333
ASN-21,"(Id=""MWUnitCardAsset:ASN-21_UnitCard"")",0.56,0.28,0.173333333
ASN-23,"(Id=""MWUnitCardAsset:ASN-23_UnitCard"")",0,0,0.173333333
AS7-D,"(Id=""MWUnitCardAsset:AS7-D_UnitCard"")",0.19,0.173333333,0.1225
AS7-D-DC,"(Id=""MWUnitCardAsset:AS7-D-DC_UnitCard"")",0.19,0.173333333,0.1225
AS7-RS,"(Id=""MWUnitCardAsset:AS7-RS_UnitCard"")",0.19,0.173333333,0.1225
AS7-S,"(Id=""MWUnitCardAsset:AS7-S_UnitCard"")",0,0,0.1225
AWS-8Q,"(Id=""MWUnitCardAsset:AWS-8Q_UnitCard"")",0.29,0.2925,0.22
AWS-8R,"(Id=""MWUnitCardAsset:AWS-8R_UnitCard"")",0.29,0.2925,0.22
AWS-8T,"(Id=""MWUnitCardAsset:AWS-8T_UnitCard"")",0.29,0.2925,0.22
AWS-8V,"(Id=""MWUnitCardAsset:AWS-8V_UnitCard"")",0.29,0.2925,0.22
AWS-9M,"(Id=""MWUnitCardAsset:AWS-9M_UnitCard"")",0,0,0.22
BNC-3E,"(Id=""MWUnitCardAsset:BNC-3E_UnitCard"")",0.98,0.495,0.475
BNC-3S,"(Id=""MWUnitCardAsset:BNC-3S_UnitCard"")",0,0.495,0.475
BLR-1D,"(Id=""MWUnitCardAsset:BLR-1D_UnitCard"")",0.125,0.13,0.048
BLR-1G,"(Id=""MWUnitCardAsset:BLR-1G_UnitCard"")",0.125,0.13,0.048
BLR-1S,"(Id=""MWUnitCardAsset:BLR-1S_UnitCard"")",0,0,0.048
BLR-3M,"(Id=""MWUnitCardAsset:BLR-3M_UnitCard"")",0,0,0.048
BLR-3S,"(Id=""MWUnitCardAsset:BLR-3S_UnitCard"")",0,0,0.048
BJ-1,"(Id=""MWUnitCardAsset:BJ-1_UnitCard"")",2.12,0.706666667,0.55
BJ-1DC,"(Id=""MWUnitCardAsset:BJ-1DC_UnitCard"")",0,0.706666667,0.55
BJ-2,"(Id=""MWUnitCardAsset:BJ-2_UnitCard"")",0,0,0.55
BJ-3,"(Id=""MWUnitCardAsset:BJ-3_UnitCard"")",0,0.706666667,0.55
BL-7-KNT,"(Id=""MWUnitCardAsset:BL-7-KNT_UnitCard"")",0.16,0.14,0.14
CTF-1X,"(Id=""MWUnitCardAsset:CTF-1X_UnitCard"")",0,0.206666667,0
CTF-2X,"(Id=""MWUnitCardAsset:CTF-2X_UnitCard"")",0,0.206666667,0
CTF-3D,"(Id=""MWUnitCardAsset:CTF-3D_UnitCard"")",0,0,0.29
CTF-4X,"(Id=""MWUnitCardAsset:CTF-4X_UnitCard"")",0,0.206666667,0.29
CPLT-C1,"(Id=""MWUnitCardAsset:CPLT-C1_UnitCard"")",0.06,0.06,0.06
CN9-A,"(Id=""MWUnitCardAsset:CN9-A_UnitCard"")",1.546666667,1.533333333,1.08
CN9-AH,"(Id=""MWUnitCardAsset:CN9-AH_UnitCard"")",1.546666667,1.533333333,1.08
CN9-AL,"(Id=""MWUnitCardAsset:CN9-AL_UnitCard"")",1.546666667,1.533333333,1.08
CN9-D,"(Id=""MWUnitCardAsset:CN9-D_UnitCard"")",0,0,1.08
CDA-2A,"(Id=""MWUnitCardAsset:CDA-2A_UnitCard"")",0.48,0.48,0.146666667
CDA-3F,"(Id=""MWUnitCardAsset:CDA-3F_UnitCard"")",0,0,0.146666667
CDA-3M,"(Id=""MWUnitCardAsset:CDA-3M_UnitCard"")",0,0,0.146666667
COM-1B,"(Id=""MWUnitCardAsset:COM-1B_UnitCard"")",0,0,0.18
COM-1D,"(Id=""MWUnitCardAsset:COM-1D_UnitCard"")",0,0,0.18
COM-2D,"(Id=""MWUnitCardAsset:COM-2D_UnitCard"")",0,0,0.18
COM-3A,"(Id=""MWUnitCardAsset:COM-3A_UnitCard"")",0,0,0.18
CRB-20,"(Id=""MWUnitCardAsset:CRB-20_UnitCard"")",0.36,0.36,0.32
CP-10-Q,"(Id=""MWUnitCardAsset:CP-10-Q_UnitCard"")",0.315,0.213333333,0.1775
CP-10-Z,"(Id=""MWUnitCardAsset:CP-10-Z_UnitCard"")",0.315,0.213333333,0.1775
CP-11-A,"(Id=""MWUnitCardAsset:CP-11-A_UnitCard"")",0,0.213333333,0.1775
CP-11-A-DC,"(Id=""MWUnitCardAsset:CP-11-A-DC_UnitCard"")",0,0,0.1775
Demolisher,"(Id=""MWUnitCardAsset:Demolisher_UnitCard"")",0.5,0.5,0.5
ENF-4R,"(Id=""MWUnitCardAsset:ENF-4R_UnitCard"")",6.6,6.52,3.08
ENF-5D,"(Id=""MWUnitCardAsset:ENF-5D_UnitCard"")",0,0,3.08
FS9-H,"(Id=""MWUnitCardAsset:FS9-H_UnitCard"")",1.86,1.71,0.825
FS9-S,"(Id=""MWUnitCardAsset:FS9-S_UnitCard"")",0,0,0.825
GHR-5H,"(Id=""MWUnitCardAsset:GHR-5H_UnitCard"")",0.84,0.8,0.293333333
GHR-5J,"(Id=""MWUnitCardAsset:GHR-5J_UnitCard"")",0,0,0.293333333
GHR-5N,"(Id=""MWUnitCardAsset:GHR-5N_UnitCard"")",0,0,0.293333333
GRF-1N,"(Id=""MWUnitCardAsset:GRF-1N_UnitCard"")",3.92,3.88,1.306666667
GRF-1S,"(Id=""MWUnitCardAsset:GRF-1S_UnitCard"")",0,0,1.306666667
GRF-3M,"(Id=""MWUnitCardAsset:GRF-3M_UnitCard"")",0,0,1.306666667
HGN-732,"(Id=""MWUnitCardAsset:HGN-732_UnitCard"")",0,0,0
HGN-733,"(Id=""MWUnitCardAsset:HGN-733_UnitCard"")",0,0,0
HGN-733C,"(Id=""MWUnitCardAsset:HGN-733C_UnitCard"")",0,0,0
HGN-733P,"(Id=""MWUnitCardAsset:HGN-733P_UnitCard"")",0,0,0
HBK-4G,"(Id=""MWUnitCardAsset:HBK-4G_UnitCard"")",0.31,0.32,0.232
HBK-4H,"(Id=""MWUnitCardAsset:HBK-4H_UnitCard"")",0.31,0.32,0.232
HBK-4J,"(Id=""MWUnitCardAsset:HBK-4J_UnitCard"")",0.31,0.32,0.232
HBK-4P,"(Id=""MWUnitCardAsset:HBK-4P_UnitCard"")",0.31,0.32,0.232
HBK-4SP,"(Id=""MWUnitCardAsset:HBK-4SP_UnitCard"")",0,0.32,0.232
JM6-A,"(Id=""MWUnitCardAsset:JM6-A_UnitCard"")",0.94,0.88,0.9
JM6-DD,"(Id=""MWUnitCardAsset:JM6-DD_UnitCard"")",0,0,0.9
JM6-S,"(Id=""MWUnitCardAsset:JM6-S_UnitCard"")",0.94,0.88,0
JVN-10F,"(Id=""MWUnitCardAsset:JVN-10F_UnitCard"")",1.605,1.455,0.705
JVN-10N,"(Id=""MWUnitCardAsset:JVN-10N_UnitCard"")",1.605,1.455,0.705
JVN-10P,"(Id=""MWUnitCardAsset:JVN-10P_UnitCard"")",0,0,0.705
JVN-11A,"(Id=""MWUnitCardAsset:JVN-11A_UnitCard"")",0,0,0.705
JR7-D,"(Id=""MWUnitCardAsset:JR7-D_UnitCard"")",0,0,0
KGC-0000,"(Id=""MWUnitCardAsset:KGC-0000_UnitCard"")",0.12,0.12,0.12
KTO-18,"(Id=""MWUnitCardAsset:KTO-18_UnitCard"")",1.28,0.48,0.22
KTO-19,"(Id=""MWUnitCardAsset:KTO-19_UnitCard"")",0,0,0.22
LCT-1E,"(Id=""MWUnitCardAsset:LCT-1E_UnitCard"")",1.1775,1.065,0.68
LCT-1M,"(Id=""MWUnitCardAsset:LCT-1M_UnitCard"")",1.1775,1.065,0.68
LCT-1V,"(Id=""MWUnitCardAsset:LCT-1V_UnitCard"")",1.1775,1.065,0.68
LCT-3M,"(Id=""MWUnitCardAsset:LCT-3M_UnitCard"")",0,0,0.68
LCT-3S,"(Id=""MWUnitCardAsset:LCT-3S_UnitCard"")",0,0,0.68
LCT-3V,"(Id=""MWUnitCardAsset:LCT-3V_UnitCard"")",1.1775,1.065,0.68
MAD-3R,"(Id=""MWUnitCardAsset:MAD-3R_UnitCard"")",1.42,0.68,0.466666667
MAD-5D,"(Id=""MWUnitCardAsset:MAD-5D_UnitCard"")",0,0.68,0.466666667
MAD-5M,"(Id=""MWUnitCardAsset:MAD-5M_UnitCard"")",0,0,0.466666667
MissileCarrier_LRM60,"(Id=""MWUnitCardAsset:MissileCarrier_LRM60_UnitCard"")",1,1,1
MissileCarrier_SRM60,"(Id=""MWUnitCardAsset:MissileCarrier_SRM60_UnitCard"")",1,1,1
Manticore,"(Id=""MWUnitCardAsset:Manticore_UnitCard"")",1,1,1
NSR-9J,"(Id=""MWUnitCardAsset:NSR-9J_UnitCard"")",0,0,0
ON1-K,"(Id=""MWUnitCardAsset:ON1-K_UnitCard"")",0.233333333,0.226666667,0.16
ON1-M,"(Id=""MWUnitCardAsset:ON1-M_UnitCard"")",0,0,0.16
ON1-V,"(Id=""MWUnitCardAsset:ON1-V_UnitCard"")",0.233333333,0.226666667,0.16
ON1-VA,"(Id=""MWUnitCardAsset:ON1-VA_UnitCard"")",0.233333333,0.226666667,0.16
PNT-9R,"(Id=""MWUnitCardAsset:PNT-9R_UnitCard"")",0,0,0
PXH-1,"(Id=""MWUnitCardAsset:PXH-1_UnitCard"")",3.24,3.2,2.1
PXH-3S,"(Id=""MWUnitCardAsset:PXH-3S_UnitCard"")",0,0,2.1
Partisan,"(Id=""MWUnitCardAsset:Partisan_UnitCard"")",1,1,1
