---,UnitCard,3028Weight,3039Weight,3050Weight
ARC-2R,"(Id=""MWUnitCardAsset:ARC-2R_UnitCard"")",2,1.98,1
ASN-21,"(Id=""MWUnitCardAsset:ASN-21_UnitCard"")",0.4,0.4,0.4
AS7-D,"(Id=""MWUnitCardAsset:AS7-D_UnitCard"")",0.026666667,0.026666667,0.02
AS7-D-DC,"(Id=""MWUnitCardAsset:AS7-D-DC_UnitCard"")",0.026666667,0.026666667,0.02
AS7-K,"(Id=""MWUnitCardAsset:AS7-K_UnitCard"")",0,0,0.02
AS7-RS,"(Id=""MWUnitCardAsset:AS7-RS_UnitCard"")",0.026666667,0.026666667,0.02
AWS-8Q,"(Id=""MWUnitCardAsset:AWS-8Q_UnitCard"")",0.52,0.52,0.404
AWS-8R,"(Id=""MWUnitCardAsset:AWS-8R_UnitCard"")",0.52,0.52,0.404
AWS-8T,"(Id=""MWUnitCardAsset:AWS-8T_UnitCard"")",0.52,0.52,0.404
AWS-8V,"(Id=""MWUnitCardAsset:AWS-8V_UnitCard"")",0.52,0.52,0.404
AWS-9M,"(Id=""MWUnitCardAsset:AWS-9M_UnitCard"")",0,0,0.404
BNC-3E,"(Id=""MWUnitCardAsset:BNC-3E_UnitCard"")",0.17,0.17,0.11
BNC-3M,"(Id=""MWUnitCardAsset:BNC-3M_UnitCard"")",0.17,0.17,0.11
BNC-3S,"(Id=""MWUnitCardAsset:BNC-3S_UnitCard"")",0,0,0.11
BLR-1G,"(Id=""MWUnitCardAsset:BLR-1G_UnitCard"")",0.59,0.59,0.295
BLR-3M,"(Id=""MWUnitCardAsset:BLR-3M_UnitCard"")",0,0,0.295
BJ-1,"(Id=""MWUnitCardAsset:BJ-1_UnitCard"")",0.76,0.76,0.68
BL-6-KNT,"(Id=""MWUnitCardAsset:BL-6-KNT_UnitCard"")",0,0,0.03
BL-7-KNT,"(Id=""MWUnitCardAsset:BL-7-KNT_UnitCard"")",0.045,0.045,0.03
BL-7-KNT-L,"(Id=""MWUnitCardAsset:BL-7-KNT-L_UnitCard"")",0.045,0.045,0.03
CPLT-C1,"(Id=""MWUnitCardAsset:CPLT-C1_UnitCard"")",0.05,0.05,0.05
CN9-A,"(Id=""MWUnitCardAsset:CN9-A_UnitCard"")",0.133333333,0.12,0.1
CN9-AH,"(Id=""MWUnitCardAsset:CN9-AH_UnitCard"")",0.133333333,0.12,0.1
CN9-AL,"(Id=""MWUnitCardAsset:CN9-AL_UnitCard"")",0.133333333,0.12,0.1
CN9-D,"(Id=""MWUnitCardAsset:CN9-D_UnitCard"")",0,0,0.1
CDA-2A,"(Id=""MWUnitCardAsset:CDA-2A_UnitCard"")",1.12,1.08,0.333333333
CDA-3F,"(Id=""MWUnitCardAsset:CDA-3F_UnitCard"")",0,0,0.333333333
CDA-3M,"(Id=""MWUnitCardAsset:CDA-3M_UnitCard"")",0,0,0.333333333
CRB-20,"(Id=""MWUnitCardAsset:CRB-20_UnitCard"")",0.2,0.2,0.16
CP-10-Q,"(Id=""MWUnitCardAsset:CP-10-Q_UnitCard"")",0.095,0.063333333,0.0575
CP-10-Z,"(Id=""MWUnitCardAsset:CP-10-Z_UnitCard"")",0.095,0.063333333,0.0575
CP-11-A,"(Id=""MWUnitCardAsset:CP-11-A_UnitCard"")",0,0.063333333,0.0575
CP-11-A-DC,"(Id=""MWUnitCardAsset:CP-11-A-DC_UnitCard"")",0,0,0.0575
Demolisher,"(Id=""MWUnitCardAsset:Demolisher_UnitCard"")",0.5,0.5,0.5
FS9-H,"(Id=""MWUnitCardAsset:FS9-H_UnitCard"")",2.25,2.25,1.11
FS9-S,"(Id=""MWUnitCardAsset:FS9-S_UnitCard"")",0,0,1.11
FLE-15,"(Id=""MWUnitCardAsset:FLE-15_UnitCard"")",1.62,1.62,0.735
FLE-17,"(Id=""MWUnitCardAsset:FLE-17_UnitCard"")",0,0,0.735
GHR-5H,"(Id=""MWUnitCardAsset:GHR-5H_UnitCard"")",0.65,0.68,0.246666667
GHR-5J,"(Id=""MWUnitCardAsset:GHR-5J_UnitCard"")",0,0,0.246666667
GHR-5N,"(Id=""MWUnitCardAsset:GHR-5N_UnitCard"")",0,0,0.246666667
GRF-1N,"(Id=""MWUnitCardAsset:GRF-1N_UnitCard"")",2.24,2.24,1.12
GRF-3M,"(Id=""MWUnitCardAsset:GRF-3M_UnitCard"")",0,0,1.12
HBK-4G,"(Id=""MWUnitCardAsset:HBK-4G_UnitCard"")",1.08,1.13,0.832
HBK-4H,"(Id=""MWUnitCardAsset:HBK-4H_UnitCard"")",1.08,1.13,0.832
HBK-4J,"(Id=""MWUnitCardAsset:HBK-4J_UnitCard"")",1.08,1.13,0.832
HBK-4P,"(Id=""MWUnitCardAsset:HBK-4P_UnitCard"")",1.08,1.13,0.832
HBK-4SP,"(Id=""MWUnitCardAsset:HBK-4SP_UnitCard"")",0,1.13,0.832
JM6-S,"(Id=""MWUnitCardAsset:JM6-S_UnitCard"")",0,0,0
JVN-10F,"(Id=""MWUnitCardAsset:JVN-10F_UnitCard"")",0.33,0.33,0.33
JVN-10N,"(Id=""MWUnitCardAsset:JVN-10N_UnitCard"")",0.33,0.33,0.33
JR7-D,"(Id=""MWUnitCardAsset:JR7-D_UnitCard"")",0,0,0
KGC-0000,"(Id=""MWUnitCardAsset:KGC-0000_UnitCard"")",0.02,0.02,0.02
LCT-1E,"(Id=""MWUnitCardAsset:LCT-1E_UnitCard"")",1.65,1.65,1.215
LCT-1V,"(Id=""MWUnitCardAsset:LCT-1V_UnitCard"")",1.65,1.65,1.215
LCT-3M,"(Id=""MWUnitCardAsset:LCT-3M_UnitCard"")",0,0,1.215
LCT-3V,"(Id=""MWUnitCardAsset:LCT-3V_UnitCard"")",1.65,1.65,1.215
MAD-3R,"(Id=""MWUnitCardAsset:MAD-3R_UnitCard"")",0.63,0.63,0.305
MAD-5M,"(Id=""MWUnitCardAsset:MAD-5M_UnitCard"")",0,0,0.305
MissileCarrier_LRM60,"(Id=""MWUnitCardAsset:MissileCarrier_LRM60_UnitCard"")",1,1,1
MissileCarrier_SRM60,"(Id=""MWUnitCardAsset:MissileCarrier_SRM60_UnitCard"")",1,1,1
Manticore,"(Id=""MWUnitCardAsset:Manticore_UnitCard"")",1,1,1
ON1-K,"(Id=""MWUnitCardAsset:ON1-K_UnitCard"")",1.246666667,1.26,0.9675
ON1-M,"(Id=""MWUnitCardAsset:ON1-M_UnitCard"")",0,0,0.9675
ON1-V,"(Id=""MWUnitCardAsset:ON1-V_UnitCard"")",1.246666667,1.26,0.9675
ON1-VA,"(Id=""MWUnitCardAsset:ON1-VA_UnitCard"")",1.246666667,1.26,0.9675
PXH-1,"(Id=""MWUnitCardAsset:PXH-1_UnitCard"")",5.68,5.64,5.92
Partisan,"(Id=""MWUnitCardAsset:Partisan_UnitCard"")",1,1,1
QKD-4G,"(Id=""MWUnitCardAsset:QKD-4G_UnitCard"")",0.845,0.855,0.655
QKD-4H,"(Id=""MWUnitCardAsset:QKD-4H_UnitCard"")",0.845,0.855,0.655
RVN-3L,"(Id=""MWUnitCardAsset:RVN-3L_UnitCard"")",0,0,0
RFL-3N,"(Id=""MWUnitCardAsset:RFL-3N_UnitCard"")",1.33,1.35,1.46
SHD-2H,"(Id=""MWUnitCardAsset:SHD-2H_UnitCard"")",1.68,0.82,1.12
SHD-5M,"(Id=""MWUnitCardAsset:SHD-5M_UnitCard"")",0,0.82,1.12
SDR-5V,"(Id=""MWUnitCardAsset:SDR-5V_UnitCard"")",2.13,2.13,2.1
STK-3F,"(Id=""MWUnitCardAsset:STK-3F_UnitCard"")",0.663333333,0.663333333,0.485
STK-3H,"(Id=""MWUnitCardAsset:STK-3H_UnitCard"")",0.663333333,0.663333333,0.485
STK-4N,"(Id=""MWUnitCardAsset:STK-4N_UnitCard"")",0.663333333,0.663333333,0.485
STK-5M,"(Id=""MWUnitCardAsset:STK-5M_UnitCard"")",0,0,0.485
Scorpion,"(Id=""MWUnitCardAsset:Scorpion_UnitCard"")",1,1,1
TDR-5S,"(Id=""MWUnitCardAsset:TDR-5S_UnitCard"")",2,2.05,2.05
TBT-3C,"(Id=""MWUnitCardAsset:TBT-3C_UnitCard"")",0,0,1.01
TBT-5J,"(Id=""MWUnitCardAsset:TBT-5J_UnitCard"")",1.84,1.2,1.01
TBT-5N,"(Id=""MWUnitCardAsset:TBT-5N_UnitCard"")",1.84,1.2,1.01
TBT-7M,"(Id=""MWUnitCardAsset:TBT-7M_UnitCard"")",0,1.2,1.01
Tank_Jedgar,"(Id=""MWUnitCardAsset:Tank_Jedgar_UnitCard"")",1,1,1
Tank_Jedgar_Flamer,"(Id=""MWUnitCardAsset:Tank_Jedgar_Flamer_UnitCard"")",1,1,1
Tank_Jedgar_MachineGun,"(Id=""MWUnitCardAsset:Tank_Jedgar_MachineGun_UnitCard"")",1,1,1
Turret_AC2_1x0,"(Id=""MWUnitCardAsset:Turret_AC2_1x0_UnitCard"")",1,1,1
Turret_AC2_1x1,"(Id=""MWUnitCardAsset:Turret_AC2_1x1_UnitCard"")",1,1,1
Turret_AC2_2x2,"(Id=""MWUnitCardAsset:Turret_AC2_2x2_UnitCard"")",1,1,1
Turret_LargeLaser_1x1,"(Id=""MWUnitCardAsset:Turret_LargeLaser_1x1_UnitCard"")",1,1,1
Turret_MediumLaser_1x0,"(Id=""MWUnitCardAsset:Turret_MediumLaser_1x0_UnitCard"")",1,1,1
Turret_MediumLaser_1x1,"(Id=""MWUnitCardAsset:Turret_MediumLaser_1x1_UnitCard"")",1,1,1
Turret_MediumLaser_2x2,"(Id=""MWUnitCardAsset:Turret_MediumLaser_2x2_UnitCard"")",1,1,1
Turret_SRM2_1x0,"(Id=""MWUnitCardAsset:Turret_SRM2_1x0_UnitCard"")",1,1,1
Turret_SRM2_1x1,"(Id=""MWUnitCardAsset:Turret_SRM2_1x1_UnitCard"")",1,1,1
Turret_SRM6_1x1,"(Id=""MWUnitCardAsset:Turret_SRM6_1x1_UnitCard"")",1,1,1
Turret_SmallLaser_1x0,"(Id=""MWUnitCardAsset:Turret_SmallLaser_1x0_UnitCard"")",1,1,1
Turret_SmallLaser_1x1,"(Id=""MWUnitCardAsset:Turret_SmallLaser_1x1_UnitCard"")",1,1,1
Turret_SmallLaser_2x2,"(Id=""MWUnitCardAsset:Turret_SmallLaser_2x2_UnitCard"")",1,1,1
UM-R60,"(Id=""MWUnitCardAsset:UM-R60_UnitCard"")",2.13,2.13,2.1
VTR-9A1,"(Id=""MWUnitCardAsset:VTR-9A1_UnitCard"")",0,0,0.036666667
VTR-9B,"(Id=""MWUnitCardAsset:VTR-9B_UnitCard"")",0.11,0.11,0.036666667
