---,UnitCard,3028Weight,3039Weight,3050Weight
ANH-2A,"(Id=""MWUnitCardAsset:ANH-2A_UnitCard"")",0,0,0
ARC-2R,"(Id=""MWUnitCardAsset:ARC-2R_UnitCard"")",7.04,6.62,2.41
ARC-5S,"(Id=""MWUnitCardAsset:ARC-5S_UnitCard"")",0,0,2.41
ARC-5W,"(Id=""MWUnitCardAsset:ARC-5W_UnitCard"")",0,0,2.41
ASN-101,"(Id=""MWUnitCardAsset:ASN-101_UnitCard"")",0,0,0.1
ASN-21,"(Id=""MWUnitCardAsset:ASN-21_UnitCard"")",0.57,0.51,0.1
ASN-23,"(Id=""MWUnitCardAsset:ASN-23_UnitCard"")",0,0,0.1
AS7-D,"(Id=""MWUnitCardAsset:AS7-D_UnitCard"")",0.08,0.07,0.055
AS7-D-DC,"(Id=""MWUnitCardAsset:AS7-D-DC_UnitCard"")",0.08,0.07,0.055
AS7-RS,"(Id=""MWUnitCardAsset:AS7-RS_UnitCard"")",0.08,0.07,0.055
AS7-S,"(Id=""MWUnitCardAsset:AS7-S_UnitCard"")",0,0,0.055
AWS-8Q,"(Id=""MWUnitCardAsset:AWS-8Q_UnitCard"")",0.2675,0.2375,0.196
AWS-8R,"(Id=""MWUnitCardAsset:AWS-8R_UnitCard"")",0.2675,0.2375,0.196
AWS-8T,"(Id=""MWUnitCardAsset:AWS-8T_UnitCard"")",0.2675,0.2375,0.196
AWS-8V,"(Id=""MWUnitCardAsset:AWS-8V_UnitCard"")",0.2675,0.2375,0.196
AWS-9M,"(Id=""MWUnitCardAsset:AWS-9M_UnitCard"")",0,0,0.196
BNC-3E,"(Id=""MWUnitCardAsset:BNC-3E_UnitCard"")",1.43,0.81,0.8
BNC-3S,"(Id=""MWUnitCardAsset:BNC-3S_UnitCard"")",0,0.81,0.8
BLR-1D,"(Id=""MWUnitCardAsset:BLR-1D_UnitCard"")",0,0,0.246
BLR-1G,"(Id=""MWUnitCardAsset:BLR-1G_UnitCard"")",1.11,0.585,0.246
BLR-1S,"(Id=""MWUnitCardAsset:BLR-1S_UnitCard"")",0,0.585,0.246
BLR-3M,"(Id=""MWUnitCardAsset:BLR-3M_UnitCard"")",0,0,0.246
BLR-3S,"(Id=""MWUnitCardAsset:BLR-3S_UnitCard"")",0,0,0.246
BJ-1,"(Id=""MWUnitCardAsset:BJ-1_UnitCard"")",1.02,0.93,0.11
BJ-1DC,"(Id=""MWUnitCardAsset:BJ-1DC_UnitCard"")",0,0,0.11
BJ-2,"(Id=""MWUnitCardAsset:BJ-2_UnitCard"")",0,0,0.11
BJ-3,"(Id=""MWUnitCardAsset:BJ-3_UnitCard"")",0,0,0.11
BL-7-KNT,"(Id=""MWUnitCardAsset:BL-7-KNT_UnitCard"")",0.11,0.11,0.11
CTF-1X,"(Id=""MWUnitCardAsset:CTF-1X_UnitCard"")",0,0,0
CTF-2X,"(Id=""MWUnitCardAsset:CTF-2X_UnitCard"")",0,0,0
CTF-3D,"(Id=""MWUnitCardAsset:CTF-3D_UnitCard"")",0,0,0
CTF-4X,"(Id=""MWUnitCardAsset:CTF-4X_UnitCard"")",0,0,0
CPLT-C1,"(Id=""MWUnitCardAsset:CPLT-C1_UnitCard"")",0.11,0.11,0.11
CN9-A,"(Id=""MWUnitCardAsset:CN9-A_UnitCard"")",0.18,0.3,0.2175
CN9-AH,"(Id=""MWUnitCardAsset:CN9-AH_UnitCard"")",0.18,0.3,0.2175
CN9-AL,"(Id=""MWUnitCardAsset:CN9-AL_UnitCard"")",0.18,0.3,0.2175
CN9-D,"(Id=""MWUnitCardAsset:CN9-D_UnitCard"")",0,0,0.2175
CDA-2A,"(Id=""MWUnitCardAsset:CDA-2A_UnitCard"")",0.57,0.51,0.1
CDA-3F,"(Id=""MWUnitCardAsset:CDA-3F_UnitCard"")",0,0,0.1
CDA-3M,"(Id=""MWUnitCardAsset:CDA-3M_UnitCard"")",0,0,0.1
COM-1B,"(Id=""MWUnitCardAsset:COM-1B_UnitCard"")",1.1,1.026666667,0.87
COM-1D,"(Id=""MWUnitCardAsset:COM-1D_UnitCard"")",1.1,1.026666667,0.87
COM-2D,"(Id=""MWUnitCardAsset:COM-2D_UnitCard"")",1.1,1.026666667,0.87
COM-3A,"(Id=""MWUnitCardAsset:COM-3A_UnitCard"")",0,1.026666667,0.87
CRB-20,"(Id=""MWUnitCardAsset:CRB-20_UnitCard"")",0.27,0.24,0.21
CP-10-Q,"(Id=""MWUnitCardAsset:CP-10-Q_UnitCard"")",0.295,0.166666667,0.0625
CP-10-Z,"(Id=""MWUnitCardAsset:CP-10-Z_UnitCard"")",0.295,0.166666667,0.0625
CP-11-A,"(Id=""MWUnitCardAsset:CP-11-A_UnitCard"")",0,0.166666667,0.0625
CP-11-A-DC,"(Id=""MWUnitCardAsset:CP-11-A-DC_UnitCard"")",0,0,0.0625
Demolisher,"(Id=""MWUnitCardAsset:Demolisher_UnitCard"")",0.5,0.5,0.5
ENF-4R,"(Id=""MWUnitCardAsset:ENF-4R_UnitCard"")",0.42,0.93,0.45
ENF-5D,"(Id=""MWUnitCardAsset:ENF-5D_UnitCard"")",0,0,0.45
FS9-H,"(Id=""MWUnitCardAsset:FS9-H_UnitCard"")",1.82,1.7,1.135
FS9-S,"(Id=""MWUnitCardAsset:FS9-S_UnitCard"")",0,0,1.135
GHR-5H,"(Id=""MWUnitCardAsset:GHR-5H_UnitCard"")",1.4,1.3,0.386666667
GHR-5J,"(Id=""MWUnitCardAsset:GHR-5J_UnitCard"")",0,0,0.386666667
GHR-5N,"(Id=""MWUnitCardAsset:GHR-5N_UnitCard"")",0,0,0.386666667
GRF-1N,"(Id=""MWUnitCardAsset:GRF-1N_UnitCard"")",3.375,3.03,2.126666667
GRF-1S,"(Id=""MWUnitCardAsset:GRF-1S_UnitCard"")",3.375,3.03,2.126666667
GRF-3M,"(Id=""MWUnitCardAsset:GRF-3M_UnitCard"")",0,0,2.126666667
HGN-732,"(Id=""MWUnitCardAsset:HGN-732_UnitCard"")",0,0,0.1075
HGN-733,"(Id=""MWUnitCardAsset:HGN-733_UnitCard"")",0.176666667,0.15,0.1075
HGN-733C,"(Id=""MWUnitCardAsset:HGN-733C_UnitCard"")",0.176666667,0.15,0.1075
HGN-733P,"(Id=""MWUnitCardAsset:HGN-733P_UnitCard"")",0.176666667,0.15,0.1075
HBK-4G,"(Id=""MWUnitCardAsset:HBK-4G_UnitCard"")",0.375,0.33,0.264
HBK-4H,"(Id=""MWUnitCardAsset:HBK-4H_UnitCard"")",0.375,0.33,0.264
HBK-4J,"(Id=""MWUnitCardAsset:HBK-4J_UnitCard"")",0.375,0.33,0.264
HBK-4P,"(Id=""MWUnitCardAsset:HBK-4P_UnitCard"")",0.375,0.33,0.264
HBK-4SP,"(Id=""MWUnitCardAsset:HBK-4SP_UnitCard"")",0,0.33,0.264
JM6-A,"(Id=""MWUnitCardAsset:JM6-A_UnitCard"")",0,0,0.13
JM6-DD,"(Id=""MWUnitCardAsset:JM6-DD_UnitCard"")",0,0,0.13
JM6-S,"(Id=""MWUnitCardAsset:JM6-S_UnitCard"")",0,0,0.13
JVN-10F,"(Id=""MWUnitCardAsset:JVN-10F_UnitCard"")",0.18,0.17,0.06
JVN-10N,"(Id=""MWUnitCardAsset:JVN-10N_UnitCard"")",0.18,0.17,0.06
JVN-10P,"(Id=""MWUnitCardAsset:JVN-10P_UnitCard"")",0,0,0.06
JVN-11A,"(Id=""MWUnitCardAsset:JVN-11A_UnitCard"")",0,0,0.06
JR7-D,"(Id=""MWUnitCardAsset:JR7-D_UnitCard"")",0,0,0
KGC-0000,"(Id=""MWUnitCardAsset:KGC-0000_UnitCard"")",0.11,0.09,0.11
KTO-18,"(Id=""MWUnitCardAsset:KTO-18_UnitCard"")",0,0,0
KTO-19,"(Id=""MWUnitCardAsset:KTO-19_UnitCard"")",0,0,0
LCT-1E,"(Id=""MWUnitCardAsset:LCT-1E_UnitCard"")",1.113333333,1.046666667,0.576
LCT-1M,"(Id=""MWUnitCardAsset:LCT-1M_UnitCard"")",1.113333333,1.046666667,0.576
LCT-3M,"(Id=""MWUnitCardAsset:LCT-3M_UnitCard"")",0,0,0.576
LCT-3S,"(Id=""MWUnitCardAsset:LCT-3S_UnitCard"")",0,0,0.576
LCT-3V,"(Id=""MWUnitCardAsset:LCT-3V_UnitCard"")",1.113333333,1.046666667,0.576
MAD-3R,"(Id=""MWUnitCardAsset:MAD-3R_UnitCard"")",0.98,0.91,0.403333333
MAD-5D,"(Id=""MWUnitCardAsset:MAD-5D_UnitCard"")",0,0,0.403333333
MAD-5M,"(Id=""MWUnitCardAsset:MAD-5M_UnitCard"")",0,0,0.403333333
MissileCarrier_LRM60,"(Id=""MWUnitCardAsset:MissileCarrier_LRM60_UnitCard"")",1,1,1
MissileCarrier_SRM60,"(Id=""MWUnitCardAsset:MissileCarrier_SRM60_UnitCard"")",1,1,1
Manticore,"(Id=""MWUnitCardAsset:Manticore_UnitCard"")",1,1,1
NSR-9J,"(Id=""MWUnitCardAsset:NSR-9J_UnitCard"")",0,0,0
ON1-K,"(Id=""MWUnitCardAsset:ON1-K_UnitCard"")",0.536666667,0.503333333,0.215
ON1-M,"(Id=""MWUnitCardAsset:ON1-M_UnitCard"")",0,0,0.215
ON1-V,"(Id=""MWUnitCardAsset:ON1-V_UnitCard"")",0.536666667,0.503333333,0.215
ON1-VA,"(Id=""MWUnitCardAsset:ON1-VA_UnitCard"")",0.536666667,0.503333333,0.215
PNT-9R,"(Id=""MWUnitCardAsset:PNT-9R_UnitCard"")",0,0,0
PXH-1,"(Id=""MWUnitCardAsset:PXH-1_UnitCard"")",4.5,2.025,2.575
PXH-3S,"(Id=""MWUnitCardAsset:PXH-3S_UnitCard"")",0,2.025,2.575
Partisan,"(Id=""MWUnitCardAsset:Partisan_UnitCard"")",1,1,1
QKD-4G,"(Id=""MWUnitCardAsset:QKD-4G_UnitCard"")",0.595,0.56,0.29
QKD-4H,"(Id=""MWUnitCardAsset:QKD-4H_UnitCard"")",0.595,0.56,0.29
RVN-2X,"(Id=""MWUnitCardAsset:RVN-2X_UnitCard"")",0,0,0
RFL-3C,"(Id=""MWUnitCardAsset:RFL-3C_UnitCard"")",0,0,0.73
RFL-3N,"(Id=""MWUnitCardAsset:RFL-3N_UnitCard"")",2.8,2.63,0.73
RFL-5D,"(Id=""MWUnitCardAsset:RFL-5D_UnitCard"")",0,0,0.73
SHD-2D,"(Id=""MWUnitCardAsset:SHD-2D_UnitCard"")",0,0,0.4925
SHD-2D2,"(Id=""MWUnitCardAsset:SHD-2D2_UnitCard"")",0,0,0.4925
SHD-2H,"(Id=""MWUnitCardAsset:SHD-2H_UnitCard"")",2.22,2.01,0.4925
SHD-5M,"(Id=""MWUnitCardAsset:SHD-5M_UnitCard"")",0,0,0.4925
SDR-5D,"(Id=""MWUnitCardAsset:SDR-5D_UnitCard"")",0,0,0.095
SDR-5V,"(Id=""MWUnitCardAsset:SDR-5V_UnitCard"")",0.3,0.28,0.095
STK-3F,"(Id=""MWUnitCardAsset:STK-3F_UnitCard"")",0.873333333,0.763333333,0.458
STK-3H,"(Id=""MWUnitCardAsset:STK-3H_UnitCard"")",0.873333333,0.763333333,0.458
STK-4N,"(Id=""MWUnitCardAsset:STK-4N_UnitCard"")",0.873333333,0.763333333,0.458
STK-5M,"(Id=""MWUnitCardAsset:STK-5M_UnitCard"")",0,0,0.458
STK-5S,"(Id=""MWUnitCardAsset:STK-5S_UnitCard"")",0,0,0.458
Scorpion,"(Id=""MWUnitCardAsset:Scorpion_UnitCard"")",1,1,1
TDR-5S,"(Id=""MWUnitCardAsset:TDR-5S_UnitCard"")",1.925,1.77,0.9675
TDR-5SS,"(Id=""MWUnitCardAsset:TDR-5SS_UnitCard"")",1.925,1.77,0.9675
TDR-9S,"(Id=""MWUnitCardAsset:TDR-9S_UnitCard"")",0,0,0.9675
TDR-9SE,"(Id=""MWUnitCardAsset:TDR-9SE_UnitCard"")",0,0,0.9675
TBT-5N,"(Id=""MWUnitCardAsset:TBT-5N_UnitCard"")",1.29,1.17,0.39
TBT-7M,"(Id=""MWUnitCardAsset:TBT-7M_UnitCard"")",0,0,0.39
Tank_Jedgar,"(Id=""MWUnitCardAsset:Tank_Jedgar_UnitCard"")",1,1,1
Tank_Jedgar_Flamer,"(Id=""MWUnitCardAsset:Tank_Jedgar_Flamer_UnitCard"")",1,1,1
Tank_Jedgar_MachineGun,"(Id=""MWUnitCardAsset:Tank_Jedgar_MachineGun_UnitCard"")",1,1,1
Turret_AC2_1x0,"(Id=""MWUnitCardAsset:Turret_AC2_1x0_UnitCard"")",1,1,1
Turret_AC2_1x1,"(Id=""MWUnitCardAsset:Turret_AC2_1x1_UnitCard"")",1,1,1
Turret_AC2_2x2,"(Id=""MWUnitCardAsset:Turret_AC2_2x2_UnitCard"")",1,1,1
Turret_LargeLaser_1x1,"(Id=""MWUnitCardAsset:Turret_LargeLaser_1x1_UnitCard"")",1,1,1
Turret_MediumLaser_1x0,"(Id=""MWUnitCardAsset:Turret_MediumLaser_1x0_UnitCard"")",1,1,1
Turret_MediumLaser_1x1,"(Id=""MWUnitCardAsset:Turret_MediumLaser_1x1_UnitCard"")",1,1,1
Turret_MediumLaser_2x2,"(Id=""MWUnitCardAsset:Turret_MediumLaser_2x2_UnitCard"")",1,1,1
Turret_SRM2_1x0,"(Id=""MWUnitCardAsset:Turret_SRM2_1x0_UnitCard"")",1,1,1
Turret_SRM2_1x1,"(Id=""MWUnitCardAsset:Turret_SRM2_1x1_UnitCard"")",1,1,1
Turret_SRM6_1x1,"(Id=""MWUnitCardAsset:Turret_SRM6_1x1_UnitCard"")",1,1,1
Turret_SmallLaser_1x0,"(Id=""MWUnitCardAsset:Turret_SmallLaser_1x0_UnitCard"")",1,1,1
Turret_SmallLaser_1x1,"(Id=""MWUnitCardAsset:Turret_SmallLaser_1x1_UnitCard"")",1,1,1
Turret_SmallLaser_2x2,"(Id=""MWUnitCardAsset:Turret_SmallLaser_2x2_UnitCard"")",1,1,1
UM-R60,"(Id=""MWUnitCardAsset:UM-R60_UnitCard"")",1.2,1.12,0.71
VTR-9A1,"(Id=""MWUnitCardAsset:VTR-9A1_UnitCard"")",0,0,0.095
VTR-9B,"(Id=""MWUnitCardAsset:VTR-9B_UnitCard"")",0.22,0.18,0.095
VTR-9K,"(Id=""MWUnitCardAsset:VTR-9K_UnitCard"")",0,0,0.095
VTR-9S,"(Id=""MWUnitCardAsset:VTR-9S_UnitCard"")",0.22,0.18,0.095
VTOL_Igor_1x1_AC10,"(Id=""MWUnitCardAsset:VTOL_Igor_1x1_AC10_UnitCard"")",1,1,1
VTOL_Igor_2x2AC2,"(Id=""MWUnitCardAsset:VTOL_Igor_2x2AC2_UnitCard"")",1,1,1
VTOL_Warrior,"(Id=""MWUnitCardAsset:VTOL_Warrior_UnitCard"")",1,1,1
WHM-6D,"(Id=""MWUnitCardAsset:WHM-6D_UnitCard"")",0,0,1.446666667
WHM-6R,"(Id=""MWUnitCardAsset:WHM-6R_UnitCard"")",4.24,3.99,1.446666667
WHM-7S,"(Id=""MWUnitCardAsset:WHM-7S_UnitCard"")",0,0,1.446666667
WLF-1,"(Id=""MWUnitCardAsset:WLF-1_UnitCard"")",0,0.2,0.375
WLF-1A,"(Id=""MWUnitCardAsset:WLF-1A_UnitCard"")",0,0.2,0.375
WVR-6R,"(Id=""MWUnitCardAsset:WVR-6R_UnitCard"")",2.25,2.01,0.985
WVR-7D,"(Id=""MWUnitCardAsset:WVR-7D_UnitCard"")",0,0,0.985
ZEU-6S,"(Id=""MWUnitCardAsset:ZEU-6S_UnitCard"")",3.33,1.266666667,1.07
ZEU-6T,"(Id=""MWUnitCardAsset:ZEU-6T_UnitCard"")",0,1.266666667,1.07
ZEU-9S,"(Id=""MWUnitCardAsset:ZEU-9S_UnitCard"")",0,1.266666667,1.07
ZEU-9S2,"(Id=""MWUnitCardAsset:ZEU-9S2_UnitCard"")",0,0,1.07
FLE-15,"(Id=""MWUnitCardAsset:FLE-15_UnitCard"")",0.2,0.2,0.2
FLE-17,"(Id=""MWUnitCardAsset:FLE-17_UnitCard"")",0,0.2,0.96
FLE-19,"(Id=""MWUnitCardAsset:FLE-19_UnitCard"")",0,0.2,0.5
,,,,
